order_id,order_date,product_id,warehouse_id,supplier_id,order_quantity,shipped_quantity,promised_delivery_date,actual_delivery_date,fulfillment_status
ORD-20250021,2025-01-21,SKU-1054,WH-04,SUP-107,50,50,2025-02-20,2025-02-20,OTIF
ORD-20250022,2025-04-05,SKU-1032,WH-02,SUP-101,100,91,2025-04-15,2025-04-21,Delayed - Partial
ORD-20250023,2025-03-25,SKU-1004,WH-03,SUP-106,100,100,2025-04-04,2025-04-03,OTIF
ORD-20250024,2025-09-25,SKU-1025,WH-01,SUP-105,50,50,2025-10-16,2025-10-15,OTIF
ORD-20250025,2025-06-14,SKU-1033,WH-04,SUP-104,25,25,2025-06-21,2025-06-28,Delayed - Full
ORD-20250026,2025-10-16,SKU-1037,WH-02,SUP-108,50,50,2025-11-06,2025-11-06,OTIF
ORD-20250027,2025-08-09,SKU-1028,WH-01,SUP-111,10,10,2025-08-23,2025-08-23,OTIF
ORD-20250028,2025-06-21,SKU-1041,WH-01,SUP-105,10,10,2025-07-12,2025-07-11,OTIF
ORD-20250029,2025-08-29,SKU-1040,WH-01,SUP-106,100,100,2025-09-08,2025-09-08,OTIF
ORD-20250030,2025-04-25,SKU-1015,WH-04,SUP-106,50,50,2025-05-05,2025-05-05,OTIF
ORD-20250031,2025-05-10,SKU-1012,WH-03,SUP-101,50,40,2025-05-20,2025-05-20,On-Time - Partial
ORD-20250032,2025-03-21,SKU-1026,WH-03,SUP-102,25,22,2025-04-11,2025-04-09,On-Time - Partial
ORD-20250033,2025-01-21,SKU-1011,WH-02,SUP-105,10,10,2025-02-11,2025-02-12,Delayed - Full
ORD-20250034,2025-08-11,SKU-1055,WH-01,SUP-111,250,250,2025-08-25,2025-08-27,Delayed - Full
ORD-20250035,2025-08-26,SKU-1023,WH-02,SUP-107,10,10,2025-09-25,2025-09-25,OTIF
ORD-20250036,2025-01-14,SKU-1043,WH-01,SUP-111,50,50,2025-01-28,2025-02-05,Delayed - Full
ORD-20250037,2025-09-08,SKU-1027,WH-03,SUP-100,25,25,2025-09-29,2025-10-06,Delayed - Full
ORD-20250038,2025-06-12,SKU-1049,WH-03,SUP-111,25,25,2025-06-26,2025-06-25,OTIF
ORD-20250039,2025-06-18,SKU-1057,WH-03,SUP-109,25,25,2025-06-25,2025-06-23,OTIF
ORD-20250040,2025-03-15,SKU-1051,WH-04,SUP-107,100,100,2025-04-14,2025-04-14,OTIF
ORD-20250041,2025-07-08,SKU-1023,WH-03,SUP-104,100,100,2025-07-15,2025-07-13,OTIF
ORD-20250042,2025-07-10,SKU-1028,WH-03,SUP-105,25,25,2025-07-31,2025-07-29,OTIF
ORD-20250043,2025-06-10,SKU-1028,WH-04,SUP-108,100,100,2025-07-01,2025-06-29,OTIF
ORD-20250044,2025-09-17,SKU-1044,WH-04,SUP-111,250,250,2025-10-01,2025-10-01,OTIF
ORD-20250045,2025-04-18,SKU-1001,WH-04,SUP-100,50,50,2025-05-09,2025-05-20,Delayed - Full
ORD-20250046,2025-08-23,SKU-1028,WH-03,SUP-111,25,25,2025-09-06,2025-09-06,OTIF
ORD-20250047,2025-11-21,SKU-1046,WH-01,SUP-103,25,25,2025-12-21,2025-12-21,OTIF
ORD-20250048,2025-09-30,SKU-1023,WH-03,SUP-101,25,25,2025-10-10,2025-10-12,Delayed - Full
ORD-20250049,2025-11-24,SKU-1029,WH-01,SUP-100,25,25,2025-12-15,2025-12-15,OTIF
ORD-20250050,2025-03-02,SKU-1044,WH-01,SUP-101,10,10,2025-03-12,2025-03-11,OTIF
ORD-20250051,2025-07-23,SKU-1048,WH-01,SUP-110,10,10,2025-07-30,2025-07-28,OTIF
ORD-20250052,2025-10-31,SKU-1030,WH-02,SUP-104,25,25,2025-11-07,2025-11-05,OTIF
ORD-20250053,2025-04-21,SKU-1051,WH-01,SUP-102,50,50,2025-05-12,2025-05-12,OTIF
ORD-20250054,2025-05-13,SKU-1022,WH-03,SUP-108,25,15,2025-06-03,2025-06-03,On-Time - Partial
ORD-20250055,2025-06-18,SKU-1008,WH-02,SUP-111,25,25,2025-07-02,2025-07-02,OTIF
ORD-20250056,2025-05-21,SKU-1020,WH-04,SUP-102,25,25,2025-06-11,2025-06-11,OTIF
ORD-20250057,2025-06-03,SKU-1052,WH-03,SUP-106,100,100,2025-06-13,2025-06-16,Delayed - Full
ORD-20250058,2025-06-18,SKU-1025,WH-03,SUP-103,25,25,2025-07-18,2025-07-17,OTIF
ORD-20250059,2025-03-11,SKU-1027,WH-01,SUP-108,10,10,2025-04-01,2025-04-01,OTIF
ORD-20250060,2025-04-24,SKU-1019,WH-03,SUP-107,50,50,2025-05-24,2025-05-24,OTIF
ORD-20250061,2025-04-08,SKU-1031,WH-02,SUP-102,25,25,2025-04-29,2025-04-28,OTIF
ORD-20250062,2025-08-25,SKU-1004,WH-01,SUP-103,25,25,2025-09-24,2025-09-22,OTIF
ORD-20250063,2025-10-22,SKU-1058,WH-03,SUP-105,250,250,2025-11-12,2025-11-12,OTIF
ORD-20250064,2025-06-02,SKU-1043,WH-04,SUP-109,25,25,2025-06-09,2025-06-09,OTIF
ORD-20250065,2025-02-16,SKU-1018,WH-03,SUP-106,25,25,2025-02-26,2025-02-26,OTIF
ORD-20250066,2025-05-27,SKU-1053,WH-02,SUP-106,25,25,2025-06-06,2025-06-17,Delayed - Full
ORD-20250067,2025-02-28,SKU-1040,WH-01,SUP-111,25,25,2025-03-14,2025-03-12,OTIF
ORD-20250068,2025-07-23,SKU-1008,WH-04,SUP-105,25,25,2025-08-13,2025-08-11,OTIF
ORD-20250069,2025-05-05,SKU-1029,WH-01,SUP-104,10,10,2025-05-12,2025-05-10,OTIF
ORD-20250070,2025-02-28,SKU-1038,WH-03,SUP-100,100,78,2025-03-21,2025-03-31,Delayed - Partial
ORD-20250071,2025-01-11,SKU-1005,WH-02,SUP-102,10,10,2025-02-01,2025-02-04,Delayed - Full
ORD-20250072,2025-09-22,SKU-1034,WH-02,SUP-107,50,50,2025-10-22,2025-10-20,OTIF
ORD-20250073,2025-09-04,SKU-1000,WH-04,SUP-105,100,100,2025-09-25,2025-09-23,OTIF
ORD-20250074,2025-02-22,SKU-1010,WH-02,SUP-103,25,25,2025-03-24,2025-03-24,OTIF
ORD-20250075,2025-04-29,SKU-1024,WH-02,SUP-101,50,50,2025-05-09,2025-05-09,OTIF
ORD-20250076,2025-05-12,SKU-1030,WH-04,SUP-103,25,25,2025-06-11,2025-06-09,OTIF
ORD-20250077,2025-08-08,SKU-1015,WH-04,SUP-110,250,250,2025-08-15,2025-08-17,Delayed - Full
ORD-20250078,2025-08-30,SKU-1010,WH-04,SUP-110,50,50,2025-09-06,2025-09-11,Delayed - Full
ORD-20250079,2025-07-16,SKU-1038,WH-02,SUP-101,25,25,2025-07-26,2025-07-29,Delayed - Full
ORD-20250080,2025-08-03,SKU-1025,WH-04,SUP-103,10,10,2025-09-02,2025-09-02,OTIF
ORD-20250081,2025-03-04,SKU-1031,WH-01,SUP-110,100,63,2025-03-11,2025-03-11,On-Time - Partial
ORD-20250082,2025-10-05,SKU-1030,WH-01,SUP-110,500,500,2025-10-12,2025-10-12,OTIF
ORD-20250083,2025-07-01,SKU-1035,WH-01,SUP-110,50,50,2025-07-08,2025-07-07,OTIF
ORD-20250084,2025-05-30,SKU-1045,WH-04,SUP-109,500,500,2025-06-06,2025-06-06,OTIF
ORD-20250085,2025-09-08,SKU-1052,WH-04,SUP-106,50,50,2025-09-18,2025-09-30,Delayed - Full
ORD-20250086,2025-07-19,SKU-1039,WH-04,SUP-107,25,25,2025-08-18,2025-08-19,Delayed - Full
ORD-20250087,2025-10-06,SKU-1023,WH-01,SUP-106,250,250,2025-10-16,2025-10-16,OTIF
ORD-20250088,2025-05-26,SKU-1039,WH-04,SUP-110,10,10,2025-06-02,2025-06-02,OTIF
ORD-20250089,2025-06-21,SKU-1055,WH-01,SUP-106,10,10,2025-07-01,2025-07-01,OTIF
ORD-20250090,2025-01-16,SKU-1056,WH-03,SUP-107,50,30,2025-02-15,2025-02-13,On-Time - Partial
ORD-20250091,2025-10-28,SKU-1026,WH-02,SUP-101,10,10,2025-11-07,2025-11-07,OTIF
ORD-20250092,2025-03-29,SKU-1016,WH-01,SUP-110,25,25,2025-04-05,2025-04-06,Delayed - Full
ORD-20250093,2025-08-24,SKU-1004,WH-01,SUP-102,25,25,2025-09-14,2025-09-17,Delayed - Full
ORD-20250094,2025-09-03,SKU-1046,WH-02,SUP-106,250,250,2025-09-13,2025-09-13,OTIF
ORD-20250095,2025-01-10,SKU-1025,WH-03,SUP-106,250,250,2025-01-20,2025-01-18,OTIF
ORD-20250096,2025-02-17,SKU-1014,WH-04,SUP-102,10,10,2025-03-10,2025-03-17,Delayed - Full
ORD-20250097,2025-05-10,SKU-1053,WH-04,SUP-100,50,50,2025-05-31,2025-06-06,Delayed - Full
ORD-20250098,2025-10-13,SKU-1048,WH-02,SUP-106,10,10,2025-10-23,2025-10-22,OTIF
ORD-20250099,2025-07-17,SKU-1029,WH-04,SUP-100,25,25,2025-08-07,2025-08-07,OTIF
ORD-20250100,2025-04-07,SKU-1041,WH-03,SUP-101,25,25,2025-04-17,2025-04-17,OTIF
ORD-20250101,2025-04-30,SKU-1024,WH-01,SUP-105,100,100,2025-05-21,2025-05-21,OTIF
ORD-20250102,2025-02-24,SKU-1021,WH-01,SUP-110,100,100,2025-03-03,2025-03-25,Delayed - Full
ORD-20250103,2025-09-11,SKU-1043,WH-01,SUP-106,10,10,2025-09-21,2025-09-20,OTIF
ORD-20250104,2025-08-11,SKU-1053,WH-01,SUP-100,10,10,2025-09-01,2025-09-01,OTIF
ORD-20250105,2025-02-26,SKU-1053,WH-01,SUP-105,25,25,2025-03-19,2025-03-17,OTIF
ORD-20250106,2025-11-17,SKU-1014,WH-04,SUP-105,10,10,2025-12-08,2025-12-07,OTIF
ORD-20250107,2025-08-09,SKU-1048,WH-03,SUP-104,10,6,2025-08-16,2025-08-16,On-Time - Partial
ORD-20250108,2025-03-04,SKU-1053,WH-03,SUP-110,100,100,2025-03-11,2025-03-10,OTIF
ORD-20250109,2025-11-07,SKU-1050,WH-04,SUP-100,100,100,2025-11-28,2025-11-28,OTIF
ORD-20250110,2025-11-02,SKU-1002,WH-04,SUP-102,50,50,2025-11-23,2025-11-21,OTIF
ORD-20250111,2025-10-10,SKU-1056,WH-01,SUP-108,50,50,2025-10-31,2025-10-31,OTIF
ORD-20250112,2025-03-23,SKU-1049,WH-01,SUP-100,50,50,2025-04-13,2025-04-18,Delayed - Full
ORD-20250113,2025-02-14,SKU-1018,WH-02,SUP-101,100,100,2025-02-24,2025-02-26,Delayed - Full
ORD-20250114,2025-11-04,SKU-1040,WH-02,SUP-103,100,100,2025-12-04,2025-12-04,OTIF
ORD-20250115,2025-02-18,SKU-1048,WH-01,SUP-107,25,25,2025-03-20,2025-03-19,OTIF
ORD-20250116,2025-07-22,SKU-1018,WH-02,SUP-105,25,25,2025-08-12,2025-08-12,OTIF
ORD-20250117,2025-07-05,SKU-1018,WH-02,SUP-105,100,100,2025-07-26,2025-07-24,OTIF
ORD-20250118,2025-07-01,SKU-1044,WH-01,SUP-103,25,25,2025-07-31,2025-07-31,OTIF
ORD-20250119,2025-09-16,SKU-1035,WH-03,SUP-110,100,100,2025-09-23,2025-09-21,OTIF
ORD-20250120,2025-08-17,SKU-1037,WH-03,SUP-102,25,25,2025-09-07,2025-09-10,Delayed - Full
ORD-20250121,2025-02-01,SKU-1023,WH-02,SUP-108,10,10,2025-02-22,2025-02-22,OTIF
ORD-20250122,2025-09-12,SKU-1046,WH-03,SUP-101,10,8,2025-09-22,2025-09-21,On-Time - Partial
ORD-20250123,2025-08-04,SKU-1013,WH-02,SUP-105,25,25,2025-08-25,2025-08-23,OTIF
ORD-20250124,2025-01-29,SKU-1048,WH-02,SUP-109,10,7,2025-02-05,2025-02-05,On-Time - Partial
ORD-20250125,2025-05-10,SKU-1009,WH-01,SUP-106,250,250,2025-05-20,2025-05-20,OTIF
ORD-20250126,2025-07-07,SKU-1023,WH-01,SUP-101,50,50,2025-07-17,2025-07-16,OTIF
ORD-20250127,2025-01-11,SKU-1030,WH-01,SUP-107,10,10,2025-02-10,2025-02-09,OTIF
ORD-20250128,2025-11-24,SKU-1047,WH-04,SUP-102,25,25,2025-12-15,2025-12-14,OTIF
ORD-20250129,2025-03-27,SKU-1058,WH-04,SUP-102,25,25,2025-04-17,2025-04-17,OTIF
ORD-20250130,2025-08-22,SKU-1053,WH-02,SUP-104,250,250,2025-08-29,2025-08-29,OTIF
ORD-20250131,2025-02-08,SKU-1016,WH-03,SUP-108,10,10,2025-03-01,2025-03-01,OTIF
ORD-20250132,2025-03-25,SKU-1015,WH-02,SUP-104,50,50,2025-04-01,2025-04-03,Delayed - Full
ORD-20250133,2025-02-25,SKU-1052,WH-04,SUP-106,25,25,2025-03-07,2025-03-07,OTIF
ORD-20250134,2025-03-08,SKU-1031,WH-03,SUP-106,100,100,2025-03-18,2025-03-20,Delayed - Full
ORD-20250135,2025-05-01,SKU-1042,WH-04,SUP-109,50,50,2025-05-08,2025-05-08,OTIF
ORD-20250136,2025-09-19,SKU-1037,WH-03,SUP-102,25,25,2025-10-10,2025-10-09,OTIF
ORD-20250137,2025-04-12,SKU-1002,WH-03,SUP-111,50,50,2025-04-26,2025-04-26,OTIF
ORD-20250138,2025-06-03,SKU-1039,WH-01,SUP-106,25,25,2025-06-13,2025-06-13,OTIF
ORD-20250139,2025-07-05,SKU-1029,WH-03,SUP-106,10,10,2025-07-15,2025-07-15,OTIF
ORD-20250140,2025-03-25,SKU-1052,WH-04,SUP-101,10,10,2025-04-04,2025-04-03,OTIF
ORD-20250141,2025-01-26,SKU-1025,WH-04,SUP-109,100,100,2025-02-02,2025-02-02,OTIF
ORD-20250142,2025-07-20,SKU-1046,WH-02,SUP-100,100,100,2025-08-10,2025-08-08,OTIF
ORD-20250143,2025-02-02,SKU-1019,WH-02,SUP-111,25,25,2025-02-16,2025-02-16,OTIF
ORD-20250144,2025-09-02,SKU-1046,WH-01,SUP-111,10,10,2025-09-16,2025-09-15,OTIF
ORD-20250145,2025-06-05,SKU-1022,WH-04,SUP-105,10,10,2025-06-26,2025-06-24,OTIF
ORD-20250146,2025-11-20,SKU-1048,WH-04,SUP-103,25,25,2025-12-20,2025-12-20,OTIF
ORD-20250147,2025-10-06,SKU-1034,WH-02,SUP-111,50,50,2025-10-20,2025-10-23,Delayed - Full
ORD-20250148,2025-11-25,SKU-1035,WH-03,SUP-104,10,10,2025-12-02,2025-12-04,Delayed - Full
ORD-20250149,2025-07-05,SKU-1045,WH-02,SUP-100,25,25,2025-07-26,2025-07-25,OTIF
ORD-20250150,2025-01-31,SKU-1057,WH-04,SUP-105,10,10,2025-02-21,2025-02-19,OTIF
ORD-20250151,2025-08-13,SKU-1044,WH-03,SUP-103,100,100,2025-09-12,2025-09-12,OTIF
ORD-20250152,2025-10-24,SKU-1021,WH-04,SUP-106,50,50,2025-11-03,2025-11-02,OTIF
ORD-20250153,2025-11-16,SKU-1044,WH-02,SUP-107,25,25,2025-12-16,2025-12-16,OTIF
ORD-20250154,2025-02-26,SKU-1007,WH-02,SUP-108,250,250,2025-03-19,2025-03-17,OTIF
ORD-20250155,2025-11-06,SKU-1017,WH-04,SUP-103,25,25,2025-12-06,2025-12-04,OTIF
ORD-20250156,2025-01-31,SKU-1051,WH-03,SUP-101,25,25,2025-02-10,2025-02-10,OTIF
ORD-20250157,2025-11-16,SKU-1057,WH-03,SUP-100,10,10,2025-12-07,2025-12-07,OTIF
ORD-20250158,2025-02-15,SKU-1009,WH-04,SUP-108,50,50,2025-03-08,2025-03-08,OTIF
ORD-20250159,2025-11-17,SKU-1047,WH-04,SUP-109,25,25,2025-11-24,2025-11-24,OTIF
ORD-20250160,2025-09-25,SKU-1045,WH-01,SUP-106,100,100,2025-10-05,2025-10-03,OTIF
ORD-20250161,2025-11-04,SKU-1023,WH-04,SUP-110,50,37,2025-11-11,2025-11-11,On-Time - Partial
ORD-20250162,2025-07-27,SKU-1014,WH-01,SUP-105,100,100,2025-08-17,2025-08-16,OTIF
ORD-20250163,2025-06-24,SKU-1027,WH-03,SUP-103,10,10,2025-07-24,2025-07-24,OTIF
ORD-20250164,2025-06-19,SKU-1017,WH-01,SUP-105,100,100,2025-07-10,2025-07-12,Delayed - Full
ORD-20250165,2025-08-22,SKU-1040,WH-01,SUP-104,25,17,2025-08-29,2025-08-29,On-Time - Partial
ORD-20250166,2025-09-28,SKU-1028,WH-03,SUP-108,25,25,2025-10-19,2025-10-19,OTIF
ORD-20250167,2025-01-21,SKU-1056,WH-04,SUP-108,10,10,2025-02-11,2025-02-16,Delayed - Full
ORD-20250168,2025-08-28,SKU-1045,WH-03,SUP-107,10,10,2025-09-27,2025-09-25,OTIF
ORD-20250169,2025-04-05,SKU-1033,WH-01,SUP-107,25,25,2025-05-05,2025-05-05,OTIF
ORD-20250170,2025-01-21,SKU-1000,WH-01,SUP-108,25,25,2025-02-11,2025-02-10,OTIF
ORD-20250171,2025-09-23,SKU-1035,WH-03,SUP-111,250,250,2025-10-07,2025-10-07,OTIF
ORD-20250172,2025-05-19,SKU-1043,WH-01,SUP-104,25,25,2025-05-26,2025-05-27,Delayed - Full
ORD-20250173,2025-11-07,SKU-1052,WH-03,SUP-107,25,25,2025-12-07,2025-12-05,OTIF
ORD-20250174,2025-09-20,SKU-1008,WH-02,SUP-105,10,10,2025-10-11,2025-10-09,OTIF
ORD-20250175,2025-11-25,SKU-1047,WH-01,SUP-109,25,25,2025-12-02,2025-12-01,OTIF
ORD-20250176,2025-10-07,SKU-1007,WH-01,SUP-106,10,10,2025-10-17,2025-10-17,OTIF
ORD-20250177,2025-03-12,SKU-1002,WH-02,SUP-100,25,25,2025-04-02,2025-03-31,OTIF
ORD-20250178,2025-08-07,SKU-1051,WH-03,SUP-102,100,100,2025-08-28,2025-08-28,OTIF
ORD-20250179,2025-01-08,SKU-1049,WH-04,SUP-100,100,100,2025-01-29,2025-02-04,Delayed - Full
ORD-20250180,2025-04-05,SKU-1022,WH-03,SUP-102,50,50,2025-04-26,2025-04-25,OTIF
ORD-20250181,2025-01-07,SKU-1022,WH-04,SUP-110,100,100,2025-01-14,2025-01-14,OTIF
ORD-20250182,2025-04-15,SKU-1012,WH-01,SUP-101,100,100,2025-04-25,2025-04-25,OTIF
ORD-20250183,2025-05-08,SKU-1059,WH-03,SUP-102,50,50,2025-05-29,2025-06-02,Delayed - Full
ORD-20250184,2025-11-02,SKU-1022,WH-03,SUP-110,50,50,2025-11-09,2025-11-09,OTIF
ORD-20250185,2025-11-03,SKU-1059,WH-04,SUP-111,10,10,2025-11-17,2025-11-17,OTIF
ORD-20250186,2025-08-20,SKU-1023,WH-02,SUP-108,100,100,2025-09-10,2025-09-09,OTIF
ORD-20250187,2025-08-03,SKU-1053,WH-04,SUP-107,25,25,2025-09-02,2025-09-01,OTIF
ORD-20250188,2025-06-24,SKU-1053,WH-03,SUP-102,50,50,2025-07-15,2025-07-15,OTIF
ORD-20250189,2025-03-02,SKU-1002,WH-01,SUP-100,50,50,2025-03-23,2025-03-26,Delayed - Full
ORD-20250190,2025-09-04,SKU-1010,WH-01,SUP-104,25,25,2025-09-11,2025-09-11,OTIF
ORD-20250191,2025-07-25,SKU-1025,WH-04,SUP-105,10,10,2025-08-15,2025-08-15,OTIF
ORD-20250192,2025-03-22,SKU-1035,WH-03,SUP-106,250,250,2025-04-01,2025-04-01,OTIF
ORD-20250193,2025-11-22,SKU-1020,WH-03,SUP-109,100,100,2025-11-29,2025-11-27,OTIF
ORD-20250194,2025-08-24,SKU-1006,WH-03,SUP-101,25,25,2025-09-03,2025-09-03,OTIF
ORD-20250195,2025-05-14,SKU-1022,WH-02,SUP-108,25,25,2025-06-04,2025-06-04,OTIF
ORD-20250196,2025-06-04,SKU-1024,WH-04,SUP-105,50,50,2025-06-25,2025-06-24,OTIF
ORD-20250197,2025-02-05,SKU-1033,WH-01,SUP-109,100,100,2025-02-12,2025-02-12,OTIF
ORD-20250198,2025-05-22,SKU-1029,WH-02,SUP-106,25,25,2025-06-01,2025-06-04,Delayed - Full
ORD-20250199,2025-08-25,SKU-1033,WH-02,SUP-110,10,8,2025-09-01,2025-08-30,On-Time - Partial
ORD-20250200,2025-11-12,SKU-1008,WH-01,SUP-108,50,50,2025-12-03,2025-12-03,OTIF
ORD-20250201,2025-09-20,SKU-1055,WH-04,SUP-104,10,10,2025-09-27,2025-09-29,Delayed - Full
ORD-20250202,2025-02-22,SKU-1007,WH-02,SUP-110,100,100,2025-03-01,2025-03-01,OTIF
ORD-20250203,2025-02-24,SKU-1045,WH-03,SUP-100,25,25,2025-03-17,2025-03-17,OTIF
ORD-20250204,2025-03-03,SKU-1052,WH-02,SUP-100,50,50,2025-03-24,2025-03-23,OTIF
ORD-20250205,2025-08-22,SKU-1026,WH-03,SUP-109,250,250,2025-08-29,2025-09-11,Delayed - Full
ORD-20250206,2025-04-26,SKU-1055,WH-04,SUP-100,25,25,2025-05-17,2025-05-26,Delayed - Full
ORD-20250207,2025-07-24,SKU-1040,WH-02,SUP-105,50,50,2025-08-14,2025-08-24,Delayed - Full
ORD-20250208,2025-01-01,SKU-1032,WH-04,SUP-105,10,10,2025-01-22,2025-01-24,Delayed - Full
ORD-20250209,2025-02-01,SKU-1037,WH-04,SUP-105,25,25,2025-02-22,2025-03-02,Delayed - Full
ORD-20250210,2025-03-02,SKU-1044,WH-04,SUP-106,100,100,2025-03-12,2025-03-11,OTIF
ORD-20250211,2025-02-14,SKU-1005,WH-04,SUP-106,10,10,2025-02-24,2025-02-24,OTIF
ORD-20250212,2025-05-27,SKU-1000,WH-03,SUP-105,25,25,2025-06-17,2025-06-17,OTIF
ORD-20250213,2025-09-13,SKU-1014,WH-01,SUP-101,10,10,2025-09-23,2025-09-23,OTIF
ORD-20250214,2025-09-20,SKU-1052,WH-03,SUP-101,250,250,2025-09-30,2025-09-28,OTIF
ORD-20250215,2025-01-02,SKU-1004,WH-03,SUP-111,10,10,2025-01-16,2025-01-16,OTIF
ORD-20250216,2025-06-26,SKU-1022,WH-03,SUP-107,25,25,2025-07-26,2025-07-24,OTIF
ORD-20250217,2025-03-13,SKU-1043,WH-03,SUP-105,250,250,2025-04-03,2025-04-15,Delayed - Full
ORD-20250218,2025-11-23,SKU-1053,WH-01,SUP-103,250,250,2025-12-23,2025-12-23,OTIF
ORD-20250219,2025-11-03,SKU-1009,WH-02,SUP-108,25,17,2025-11-24,2025-11-24,On-Time - Partial
ORD-20250220,2025-11-21,SKU-1004,WH-03,SUP-108,100,100,2025-12-12,2025-12-11,OTIF
ORD-20250221,2025-06-01,SKU-1054,WH-04,SUP-108,250,250,2025-06-22,2025-06-20,OTIF
ORD-20250222,2025-02-28,SKU-1007,WH-02,SUP-109,25,25,2025-03-07,2025-03-26,Delayed - Full
ORD-20250223,2025-06-03,SKU-1043,WH-01,SUP-109,10,10,2025-06-10,2025-06-10,OTIF
ORD-20250224,2025-05-20,SKU-1055,WH-02,SUP-111,10,10,2025-06-03,2025-06-03,OTIF
ORD-20250225,2025-02-07,SKU-1029,WH-01,SUP-100,50,50,2025-02-28,2025-02-28,OTIF
ORD-20250226,2025-10-14,SKU-1011,WH-03,SUP-105,50,50,2025-11-04,2025-11-06,Delayed - Full
ORD-20250227,2025-04-08,SKU-1034,WH-01,SUP-105,100,100,2025-04-29,2025-04-27,OTIF
ORD-20250228,2025-03-12,SKU-1049,WH-04,SUP-100,50,50,2025-04-02,2025-04-02,OTIF
ORD-20250229,2025-07-23,SKU-1034,WH-03,SUP-104,50,50,2025-07-30,2025-08-01,Delayed - Full
ORD-20250230,2025-07-11,SKU-1054,WH-04,SUP-104,10,10,2025-07-18,2025-07-17,OTIF
ORD-20250231,2025-01-17,SKU-1012,WH-04,SUP-108,10,10,2025-02-07,2025-02-05,OTIF
ORD-20250232,2025-04-18,SKU-1036,WH-01,SUP-104,10,10,2025-04-25,2025-05-09,Delayed - Full
ORD-20250233,2025-04-02,SKU-1025,WH-04,SUP-108,100,100,2025-04-23,2025-04-23,OTIF
ORD-20250234,2025-05-07,SKU-1015,WH-02,SUP-100,250,250,2025-05-28,2025-05-28,OTIF
ORD-20250235,2025-01-18,SKU-1051,WH-01,SUP-107,100,100,2025-02-17,2025-02-15,OTIF
ORD-20250236,2025-07-23,SKU-1000,WH-01,SUP-100,25,20,2025-08-13,2025-08-13,On-Time - Partial
ORD-20250237,2025-01-10,SKU-1043,WH-04,SUP-109,10,10,2025-01-17,2025-01-17,OTIF
ORD-20250238,2025-07-30,SKU-1029,WH-04,SUP-107,25,25,2025-08-29,2025-08-28,OTIF
ORD-20250239,2025-09-23,SKU-1008,WH-03,SUP-106,10,10,2025-10-03,2025-10-01,OTIF
ORD-20250240,2025-04-24,SKU-1001,WH-02,SUP-101,100,100,2025-05-04,2025-05-04,OTIF
ORD-20250241,2025-02-28,SKU-1028,WH-03,SUP-101,25,25,2025-03-10,2025-03-10,OTIF
ORD-20250242,2025-02-18,SKU-1040,WH-04,SUP-111,25,25,2025-03-04,2025-03-04,OTIF
ORD-20250243,2025-09-25,SKU-1044,WH-03,SUP-108,25,19,2025-10-16,2025-10-16,On-Time - Partial
